8604,50—57,Anwendung des Monats,Lernen,Quizmaster — die Hilfe bei Lernproblemen
8604,63—64,Listings zum Abtippen,Schwarz auf Weiß,Schwarz auf Weiß (Database-Änderung)
8604,66,Buchbesprechungen,Diskette,1571 & 1570: Das große Floppybuch (Ft.: 06/86 73)
8604,66,Buchbesprechungen,Messen Steuern,C 64 Fischertechnik
8604,66,Buchbesprechungen,Verschiedenes,Numerische Mathematik
8604,66,Buchbesprechungen,Verschiedenes,Professionelle Software für den C 64
8604,67—70,Listings zum Abtippen,Drucker Grafik,Auf der Suche nach der Grafik
8604,76—77,Einsteiger,Tips & Tricks,Tips & Tricks für Einsteiger
8604,78—79,Tips & Tricks C 64,Diskette,Disk-Optimizer
8604,78,Tips & Tricks C 64,Druckerhilfe CP 80 X,Print Shop und CP 80X
8604,78—79,Tips & Tricks C 64,Profis,Tips & Tricks für Profis: Der Super-Einzeiler
8604,81—82,Tips & Tricks C 128,Verschiedenes,Tips & Tricks zum C 128
8604,83,"Tips & Tricks C 16, 116, Plus/4",Verschiedenes,"Tips & Tricks zum C 16, C 116, Plus/4 (Ft.: 07/86 84)"
8604,84,Tips & Tricks C 64,Grafik,»Apfelmännchen« Diashow
8604,84—85,Tips & Tricks C 128,Verschiedenes,Autochange für C 128 (Ft.: 05/86 87)
8604,90,Hardware,EPROM,Tips & Tricks zum 64'er EPROMer (Ft.: 05/86 87)
8604,92—93,64'er Extra,Ein/Ausgabe-Ports,Der Expansion-Port des C 64
8604,126,Buchbesprechungen,Sprachen,Der sichere Einstieg in Pascal
8604,126,Buchbesprechungen,Grafik,Mini-CAD mit Hi-Eddi Plus
8604,126,Buchbesprechungen,Textverarbeitung,Wordstar für den C 128
8604,133—141,Software-Grundlagen und Kurse,Programmierung,Von Basic zu Assembler (Teil 3)
8604,139—141,Software-Grundlagen und Kurse,Sprachen: Pascal,Pascal-Kurs für Anfänger (Teil 2)
8604,142—177,Hardware-Grundlagen,Hardwarekurs,Kennen Sie Ihren C 64 (Teil 2)
8604,146—148,Software-Test,Spiele-Selbstbau,Spielprogramme im Selbstbau (Movie Maker)
8604,149—150,Software-Test,Dateiverwaltung,Der zweite Preishammer (Stardatei)
8604,151—152,Spiele-Test,Simulation,Die Super-Simulationen (Revs und Jet)
8604,154,Spiele-Test,Billigspiele,Die verrückten Billigspiele (MAD Games)
8604,156,Spiele-Test,Actionspiele,Bildschirmkrieg (Rambo/Space Invasion)
8604,159—164,Tips & Tricks Anwenderprogramme,Textverarbeitung,Tips & Tricks zu Vizawrite 64 (Teil 4)
8604,166—168,Tips & Tricks Anwenderprogramme,Datenbank,Superbase 64 (Teil 1)
8604,172—173,Sonstige Rubriken,Grafik,Die besten 12: Auflösung Blockgrafikwettbewerb
8605,8—10,Aktuell,Messen,Rund um Computer in Hannover
