Software-Grundlagen,Grafik,Sprites und Shapes auf dem C128,1/86,32,,
Software-Grundlagen,Grafik,Windows – Fenster zum neuen....,7/86,110,,
Software-Grundlagen,Grafik,Wunderwelt der Grafik,10,71,,
Software-Grundlagen,Kurs,Abenteuer selbst programmiert,2/85,7,,
Software-Grundlagen,Kurs,Adventure Programmiertechnik,4/86,81,,
Software-Grundlagen,Kurs,Dateiverwaltung komplett,4/86,10,,
Software-Grundlagen,Kurs,Künstliche Intelligenz,4/86,40,,
Software-Grundlagen,Kurs,Mein Computer versteht mich,4/86,58,,
Software-Grundlagen,Kurs,Memory Map mit Wandervorschlägen,7/86,6,,
Software-Grundlagen,Kurs,Super-Grafik für Adventures,4/86,78,,
Software-Grundlagen,Programmieren,84KByte sicher im Griff,7/86,107,,
Software-Grundlagen,Programmieren,Maschinenpower mit Basic,7/86,84,,
Software-Grundlagen,Programmieren,"Alle Tasten-, Zeichen- und Steuercodes",2/86,20,,
Software-Grundlagen,Programmieren,Basic-Kurs für C16-Einsteiger,8/86,10,,
Software-Grundlagen,Programmieren,C128-Programme auf dem C16?,8/86,57,,
Software-Grundlagen,Programmieren,C64-Programme für C16 und VC20,3/86,156,,
Software-Grundlagen,Programmieren,Das Auge „ißt“ mit,8/86,47,,
Software-Grundlagen,Programmieren,Debugging – Fehlersuche in Basic-Programmen,2/86,49,,
Software-Grundlagen,Programmieren,Der Weg zum optimalen Programm,12,125,,
Software-Grundlagen,Programmieren,Die Codes des C64,8/85,181,,
Software-Grundlagen,Programmieren,Durchblick mit dem Monitor,8/86,67,,
Software-Grundlagen,Programmieren,Exzesse über den Kreis,11,37,,
Software-Grundlagen,Programmieren,Pull-Down-Menüs in Maschinensprache,12,115,,
Software-Grundlagen,Programmieren,Synthetische Steuerzeichen,2/86,39,,
Software-Grundlagen,Programmieren,Wühlereien im Betriebssystem,8/86,87,,
Software-Grundlagen,Programmiersprachen,C-Die Sprache des Systemprogrammierers,12,46,,
Software-Grundlagen,Programmiersprachen,Freesoft-Forth – Die starke Alternative,12,50,,
Software-Grundlagen,Programmiersprachen,Hinter den Kulissen,12,144,,
Software-Grundlagen,Programmiersprachen,Programmieren mit Struktur,12,6,,
Software-Grundlagen,Programmiersprachen,Strukturiertes Programmieren in Comal,12,39,,
Software-Grundlagen,Sound,Ein Lied kommt aus dem Chip,5/86,134,,
Software-Grundlagen,Sound,Sphärenklänge,5/86,69,,
